"filename", "language", "XML", "R DCF", "JSON with Comments", "Markdown", "env", "compressionTargetFile", "Python", "JSON", "R", "Julia", "comment", "blank", "total"
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.env", "env", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/SystemicRisk.iml", "XML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/codeStyles/codeStyleConfig.xml", "XML", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/dictionaries/ethan.xml", "XML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/inspectionProfiles/profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/misc.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/modules.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/other.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.virtual_documents/scripts/IO/export_exp_data_to_excel.ipynb", "JSON", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 106, 235
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/export_exp_data_to_excel.ipynb", "JSON", 0, 0, 0, 0, 0, 0, 0, 654, 0, 0, 0, 0, 654
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/export_exp_data_to_excel.py", "Python", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 85, 99, 264
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/import_exp_data.R", "R", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 8, 9, 48
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/transform_original_data.R", "R", 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 16, 30, 193
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/analyse/analyse_balance_sheet.R", "R", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/exp_raw/main.py", "Python", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 27, 31, 131
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/include/include_exp_files.py", "Python", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 12, 23
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_agentsVariables.py", "Python", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 144, 12, 272
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_environmentVariables.py", "Python", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 30, 17, 91
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_parameterVariables.py", "Python", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 13, 14, 53
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/tools/useful_functions.R", "R", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 3, 11, 67
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/visualization/visualize_data.R", "R", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 11, 30
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 10, 9, 31
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 2, 57
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/fun_agentModel.py", "Python", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 11, 18, 72
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/fun_scheduler.py", "Python", 0, 0, 0, 0, 0, 0, 191, 0, 0, 0, 154, 35, 380
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_builder.py", "Python", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 42, 23, 115
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_collector.py", "Python", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 68, 24, 230
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_initVariable.py", "Python", 0, 0, 0, 0, 0, 0, 179, 0, 0, 0, 245, 26, 450
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_runner.py", "Python", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 51, 11, 87
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/define/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
